service_id,customer_id,service_date,service_type,service_center,city,promised_duration_hours,actual_duration_hours,delay_hours,labor_cost,parts_cost,total_cost,technician_skill_rating,wait_time_minutes,communication_satisfaction,overall_satisfaction,recommendation_score,nps_category,follow_up_received,issue_resolved_first_visit,service_advisor_rating,facility_cleanliness_rating,parts_availability,booking_method,pickup_dropoff_used,warranty_claim
SRV_000011,CUST_01189,2024-06-26 05:00:18.722244,Oil Change,Indira Nagar,Lucknow,1.8,1.5,0.0,1501.0,527.0,2027.0,0.87,90.0,3.8,3.9,7.7,Passive,True,True,3.5,4.8,Available,Walk-in,False,False
SRV_000012,CUST_00899,2025-05-01 05:00:18.696242,Regular Service,Lajpat Nagar,Delhi,1.6,1.4,0.0,6372.0,945.0,7317.0,0.62,7.0,3.2,3.1,4.1,Detractor,False,True,4.9,4.0,Delayed,Online,False,False
SRV_000013,CUST_00616,2024-12-07 05:00:18.690242,Engine Repair,C-Scheme,Jaipur,12.7,9.9,0.0,49256.0,13101.0,62358.0,0.78,24.0,4.4,3.5,7.9,Passive,True,True,4.8,4.7,Available,Online,True,False
SRV_000014,CUST_01370,2024-09-10 05:00:18.735244,Major Service,Hazratganj,Lucknow,4.1,6.2,2.1,9616.0,3535.0,13151.0,0.65,48.0,4.4,3.2,4.0,Detractor,False,True,3.6,3.6,Available,Phone,True,False
SRV_000015,CUST_01820,2025-06-03 05:00:18.763244,Oil Change,Janakpuri,Delhi,1.5,1.6,0.1,2154.0,412.0,2566.0,0.67,79.0,3.5,3.9,7.6,Passive,True,False,3.6,4.7,Delayed,Mobile App,False,False
SRV_000016,CUST_00169,2023-06-05 05:00:18.660247,Regular Service,Lajpat Nagar,Delhi,2.5,2.2,0.0,2866.0,900.0,3766.0,0.77,101.0,3.8,3.7,7.8,Passive,False,True,4.9,3.9,Not Available,Walk-in,True,True
SRV_000017,CUST_00644,2023-10-30 05:00:18.690242,Regular Service,Prahlad Nagar,Ahmedabad,4.0,3.6,0.0,4698.0,106.0,4804.0,0.86,95.0,4.1,5.0,9.1,Promoter,False,True,3.3,5.0,Delayed,Phone,False,False
SRV_000018,CUST_01636,2025-03-09 05:00:18.758243,Oil Change,Banjara Hills,Hyderabad,1.7,2.0,0.3,2597.0,642.0,3239.0,0.73,104.0,3.3,3.4,4.0,Detractor,False,True,3.2,3.7,Not Available,Walk-in,False,False
SRV_000019,CUST_00024,2022-11-22 05:00:18.656242,Brake Service,Powai,Mumbai,3.5,3.2,0.0,4828.0,1022.0,5850.0,0.84,46.0,3.3,4.0,7.3,Passive,False,True,3.3,4.2,Not Available,Walk-in,True,False
SRV_000020,CUST_00031,2024-03-23 05:00:18.656242,Oil Change,Lajpat Nagar,Delhi,1.1,1.0,0.0,2941.0,1153.0,4094.0,0.94,19.0,3.8,3.8,7.2,Passive,True,True,3.4,3.6,Available,Phone,True,False
SRV_000021,CUST_01131,2023-10-26 05:00:18.720246,Major Service,Howrah,Kolkata,7.6,8.2,0.6,17619.0,264.0,17883.0,0.67,69.0,3.7,4.3,7.5,Passive,True,True,3.4,4.5,Delayed,Phone,True,False
SRV_000022,CUST_00853,2023-03-24 05:00:18.695242,Oil Change,Rohini,Delhi,1.3,1.8,0.5,3139.0,411.0,3550.0,0.91,105.0,4.0,3.4,2.1,Detractor,True,True,4.0,4.6,Delayed,Mobile App,True,False
SRV_000023,CUST_00313,2024-08-29 05:00:18.664243,Regular Service,Mansarovar,Jaipur,2.8,3.1,0.3,2196.0,273.0,2469.0,0.84,73.0,3.6,4.3,7.6,Passive,False,True,4.2,3.5,Available,Online,True,False
SRV_000024,CUST_01989,2026-01-14 05:00:18.767245,Oil Change,OMR,Chennai,1.5,1.6,0.1,2220.0,804.0,3024.0,0.74,25.0,4.0,3.2,3.6,Detractor,False,False,3.6,3.9,Not Available,Walk-in,False,False
SRV_000025,CUST_01727,2025-01-11 05:00:18.760245,Regular Service,Goregaon,Mumbai,2.3,2.7,0.3,5557.0,1723.0,7280.0,0.83,13.0,4.1,3.8,7.5,Passive,True,True,4.5,4.2,Not Available,Online,True,False
SRV_000026,CUST_00665,2024-04-22 05:00:18.691243,Regular Service,Tambaram,Chennai,2.8,2.4,0.0,3825.0,1316.0,5141.0,0.97,96.0,3.4,4.4,7.9,Passive,False,True,4.6,3.8,Delayed,Phone,False,False
SRV_000027,CUST_01795,2023-08-01 05:00:18.762772,Transmission Service,Baner,Pune,3.8,4.6,0.7,20344.0,5193.0,25537.0,0.9,14.0,4.5,3.9,7.2,Passive,False,True,4.9,4.0,Available,Online,True,False
SRV_000028,CUST_01617,2026-01-28 05:00:18.742244,Major Service,Wakad,Pune,6.0,5.9,0.0,8329.0,1052.0,9380.0,0.77,67.0,4.6,4.0,7.4,Passive,False,True,3.0,4.6,Not Available,Online,False,False
SRV_000029,CUST_00018,2026-02-11 05:00:18.656242,Brake Service,T. Nagar,Chennai,3.3,4.0,0.7,6731.0,327.0,7058.0,0.63,41.0,3.7,2.7,3.4,Detractor,True,True,3.2,4.6,Available,Online,False,False
SRV_000030,CUST_01221,2023-02-10 05:00:18.723244,Engine Repair,Vaishali Nagar,Jaipur,10.4,14.6,4.3,40101.0,685.0,40786.0,0.72,92.0,4.0,3.1,2.1,Detractor,False,True,3.3,4.2,Available,Walk-in,False,False
SRV_000031,CUST_00541,2024-02-14 05:00:18.688243,Regular Service,C-Scheme,Jaipur,2.2,2.5,0.4,4395.0,106.0,4502.0,0.73,33.0,3.1,4.5,8.0,Passive,False,True,4.3,4.8,Delayed,Phone,False,False
SRV_000032,CUST_00042,2024-04-24 05:00:18.656242,Regular Service,Madhapur,Hyderabad,2.5,2.6,0.2,4632.0,188.0,4819.0,0.87,8.0,3.4,3.5,7.5,Passive,False,True,3.3,4.4,Not Available,Mobile App,False,True
SRV_000033,CUST_01323,2023-06-07 05:00:18.733242,Major Service,Mansarovar,Jaipur,4.7,3.9,0.0,11649.0,1760.0,13409.0,0.88,42.0,4.5,3.8,7.1,Passive,False,False,4.8,4.0,Not Available,Walk-in,False,False
SRV_000034,CUST_00138,2023-06-21 05:00:18.659245,Major Service,Koramangala,Bangalore,8.4,8.6,0.1,14743.0,221.0,14964.0,0.65,104.0,3.6,3.8,7.1,Passive,False,True,4.7,3.9,Delayed,Walk-in,False,True
SRV_000035,CUST_00834,2024-06-24 05:00:18.695242,Major Service,Velachery,Chennai,4.0,4.9,0.9,10219.0,864.0,11083.0,0.92,25.0,4.0,3.9,7.9,Passive,True,True,4.1,4.8,Not Available,Mobile App,False,False
SRV_000036,CUST_00121,2025-11-05 05:00:18.659245,Regular Service,Vaishali Nagar,Jaipur,2.5,2.4,0.0,4121.0,1370.0,5491.0,0.96,54.0,4.9,3.7,7.5,Passive,True,True,4.1,4.3,Available,Online,False,False
SRV_000037,CUST_00218,2025-08-13 05:00:18.661250,Regular Service,Banjara Hills,Hyderabad,3.3,3.0,0.0,4297.0,60.0,4357.0,0.8,46.0,3.8,3.8,7.5,Passive,False,True,4.0,4.6,Available,Mobile App,False,False
SRV_000038,CUST_01892,2025-04-23 05:00:18.765246,Regular Service,Anna Nagar,Chennai,1.6,1.4,0.0,2753.0,256.0,3009.0,0.97,26.0,4.0,4.9,9.5,Promoter,False,False,3.3,3.7,Delayed,Phone,True,False
SRV_000039,CUST_00741,2024-04-18 05:00:18.693242,Tire Service,New Town,Kolkata,2.7,2.6,0.0,3704.0,1289.0,4993.0,0.89,86.0,4.1,4.2,7.0,Passive,True,True,4.0,4.4,Not Available,Walk-in,True,False
SRV_000040,CUST_00807,2022-10-27 05:00:18.694242,Regular Service,C-Scheme,Jaipur,2.6,1.9,0.0,4993.0,480.0,5473.0,0.85,68.0,4.4,4.0,8.0,Passive,True,True,3.9,4.4,Not Available,Mobile App,True,False
SRV_000041,CUST_01303,2025-01-22 05:00:18.733242,Regular Service,Gachibowli,Hyderabad,3.1,3.9,0.8,4696.0,333.0,5030.0,0.72,16.0,4.0,3.3,5.3,Detractor,True,True,4.1,4.4,Available,Phone,False,False
SRV_000042,CUST_00480,2023-08-25 05:00:18.686242,Regular Service,Bandra East,Mumbai,1.8,2.4,0.6,3144.0,63.0,3208.0,0.78,32.0,3.0,4.5,7.8,Passive,False,True,4.8,4.1,Available,Online,False,False
SRV_000043,CUST_01997,2025-03-28 05:00:18.768245,Regular Service,Koramangala,Bangalore,3.3,2.3,0.0,2030.0,377.0,2407.0,0.64,30.0,4.4,3.5,7.8,Passive,True,True,3.9,3.8,Available,Mobile App,True,False
SRV_000044,CUST_01406,2023-10-26 05:00:18.737244,Regular Service,Velachery,Chennai,2.6,2.5,0.0,4439.0,1006.0,5445.0,0.63,111.0,4.2,3.3,0.7,Detractor,False,True,4.5,4.6,Available,Mobile App,True,False
SRV_000045,CUST_00069,2023-08-21 05:00:18.657243,Regular Service,Vaishali Nagar,Jaipur,2.9,3.2,0.3,4893.0,928.0,5821.0,0.7,112.0,4.1,3.5,5.0,Detractor,False,False,3.3,4.0,Available,Mobile App,True,True
SRV_000046,CUST_01369,2024-11-17 05:00:18.735244,Major Service,Mansarovar,Jaipur,4.2,5.9,1.7,12114.0,3660.0,15774.0,0.97,48.0,4.2,3.9,7.8,Passive,False,False,3.0,4.5,Delayed,Walk-in,False,True
SRV_000047,CUST_00042,2023-12-30 05:00:18.656242,AC Service,Madhapur,Hyderabad,3.3,3.5,0.2,2776.0,517.0,3293.0,0.61,45.0,4.2,4.1,7.9,Passive,False,True,3.8,3.7,Available,Online,False,False
SRV_000048,CUST_00532,2024-01-30 05:00:18.687241,Regular Service,Maninagar,Ahmedabad,3.1,4.2,1.1,4525.0,309.0,4834.0,1.0,109.0,3.4,4.3,7.9,Passive,False,True,4.0,4.1,Available,Mobile App,False,False
SRV_000049,CUST_01588,2024-03-23 05:00:18.742244,Tire Service,Rajarhat,Kolkata,1.6,2.4,0.8,4692.0,856.0,5549.0,0.78,70.0,3.0,4.1,7.1,Passive,False,True,3.2,4.0,Available,Mobile App,True,False
SRV_000050,CUST_00592,2026-04-27 05:00:18.689246,Regular Service,Tambaram,Chennai,2.0,2.4,0.4,2592.0,338.0,2930.0,0.8,66.0,3.2,4.2,7.0,Passive,True,True,3.6,4.1,Available,Online,True,True
SRV_000051,CUST_01043,2022-12-20 05:00:18.700242,AC Service,New Town,Kolkata,2.6,3.1,0.5,5044.0,1385.0,6429.0,0.74,39.0,3.0,3.2,0.0,Detractor,False,True,4.4,4.1,Available,Online,True,True
SRV_000052,CUST_01575,2025-12-26 05:00:18.741246,Battery Replacement,Rajarhat,Kolkata,1.3,1.2,0.0,6891.0,2754.0,9645.0,0.92,21.0,3.6,4.0,7.9,Passive,True,True,4.0,4.9,Not Available,Mobile App,True,False
SRV_000053,CUST_01677,2025-06-22 05:00:18.759243,Major Service,Kothrud,Pune,6.0,9.3,3.3,12519.0,4220.0,16739.0,0.96,34.0,3.0,2.5,0.2,Detractor,False,True,3.2,3.6,Available,Mobile App,True,False
SRV_000054,CUST_00665,2024-04-13 05:00:18.691243,Regular Service,Tambaram,Chennai,3.8,3.6,0.0,2955.0,783.0,3738.0,0.7,35.0,3.5,3.9,8.0,Passive,True,True,4.7,3.5,Delayed,Phone,False,False
SRV_000055,CUST_02000,2024-08-29 05:00:18.768245,Major Service,Malviya Nagar,Jaipur,6.7,6.4,0.0,8210.0,1056.0,9266.0,0.7,16.0,3.6,3.9,7.9,Passive,True,True,4.1,3.9,Not Available,Online,True,False
SRV_000056,CUST_01840,2024-04-29 05:00:18.764244,Oil Change,Marathahalli,Bangalore,1.6,1.6,0.0,2533.0,154.0,2687.0,0.78,66.0,4.4,4.3,7.0,Passive,False,True,4.0,3.6,Delayed,Walk-in,True,False
SRV_000057,CUST_00340,2024-05-26 05:00:18.664243,Major Service,Whitefield,Bangalore,7.7,5.6,0.0,9349.0,1165.0,10514.0,1.0,43.0,3.1,4.0,7.2,Passive,True,True,4.1,4.5,Available,Phone,False,False
SRV_000058,CUST_00404,2023-05-13 05:00:18.684243,Oil Change,Vastrapur,Ahmedabad,1.5,1.0,0.0,2799.0,445.0,3245.0,0.84,65.0,3.1,3.6,7.4,Passive,True,True,3.9,3.5,Not Available,Phone,True,False
SRV_000059,CUST_00849,2023-11-15 05:00:18.695242,Regular Service,Janakpuri,Delhi,2.6,2.4,0.0,4971.0,1247.0,6218.0,0.61,42.0,3.0,4.2,7.7,Passive,False,True,4.9,4.7,Not Available,Walk-in,False,False
SRV_000060,CUST_01876,2024-09-12 05:00:18.765246,Battery Replacement,Thane,Mumbai,1.7,2.0,0.3,4527.0,322.0,4849.0,1.0,6.0,3.0,4.8,9.8,Promoter,True,True,4.0,4.6,Not Available,Phone,False,False
SRV_000061,CUST_01305,2024-03-08 05:00:18.733242,Major Service,Prahlad Nagar,Ahmedabad,4.2,7.1,2.9,10448.0,4017.0,14465.0,0.81,118.0,4.2,2.6,4.1,Detractor,True,True,4.0,4.8,Not Available,Mobile App,False,False
SRV_000062,CUST_00321,2023-05-01 05:00:18.664243,Oil Change,Wakad,Pune,2.3,2.6,0.3,3216.0,99.0,3315.0,0.95,100.0,4.8,3.9,7.5,Passive,False,True,4.3,4.4,Not Available,Phone,False,True
SRV_000063,CUST_01572,2024-05-12 05:00:18.741246,Regular Service,Thane,Mumbai,4.0,4.1,0.2,2327.0,475.0,2801.0,0.72,88.0,4.2,3.2,5.2,Detractor,False,True,4.8,4.6,Not Available,Phone,True,False
SRV_000064,CUST_01683,2023-02-06 05:00:18.759243,Major Service,Wakad,Pune,6.8,6.8,0.1,12690.0,3747.0,16438.0,0.83,15.0,3.4,3.7,7.7,Passive,False,True,3.2,4.5,Not Available,Mobile App,True,False
SRV_000065,CUST_00459,2024-07-25 05:00:18.685242,Oil Change,Andheri West,Mumbai,1.6,1.3,0.0,2195.0,2.0,2198.0,0.69,66.0,4.3,4.1,7.5,Passive,True,True,3.6,4.7,Not Available,Online,False,False
SRV_000066,CUST_01787,2023-08-22 05:00:18.762244,Regular Service,Kothrud,Pune,2.3,3.4,1.2,2823.0,49.0,2873.0,0.75,51.0,4.2,3.1,4.4,Detractor,True,True,3.6,4.6,Not Available,Mobile App,True,False
SRV_000067,CUST_01120,2024-07-17 05:00:18.719245,Regular Service,Gachibowli,Hyderabad,3.4,2.9,0.0,2301.0,672.0,2973.0,0.99,73.0,3.2,3.8,7.7,Passive,False,True,4.2,4.9,Available,Online,False,True
SRV_000068,CUST_00458,2022-12-09 05:00:18.685242,Regular Service,Goregaon,Mumbai,2.0,2.9,0.8,5684.0,266.0,5950.0,0.9,92.0,4.8,4.0,7.4,Passive,True,False,4.8,3.7,Delayed,Online,False,True
SRV_000069,CUST_00681,2026-04-04 05:00:18.691243,Oil Change,Kothrud,Pune,1.5,1.7,0.3,3541.0,742.0,4283.0,0.85,8.0,3.5,3.2,2.0,Detractor,True,True,4.8,4.3,Not Available,Mobile App,True,False
SRV_000070,CUST_00342,2024-01-26 05:00:18.664243,Brake Service,Indira Nagar,Lucknow,3.2,3.8,0.6,3281.0,298.0,3579.0,0.77,83.0,4.3,3.8,7.5,Passive,True,False,4.8,4.4,Delayed,Walk-in,False,False
SRV_000071,CUST_00117,2024-03-28 05:00:18.658241,Major Service,OMR,Chennai,7.1,6.7,0.0,14445.0,233.0,14678.0,0.64,59.0,3.0,4.0,7.3,Passive,False,True,4.9,3.5,Available,Walk-in,False,False
SRV_000072,CUST_00101,2024-04-01 05:00:18.658241,Tire Service,Whitefield,Bangalore,1.7,1.1,0.0,5953.0,443.0,6396.0,0.83,35.0,3.6,4.4,7.7,Passive,False,True,4.3,3.5,Delayed,Walk-in,True,False
SRV_000073,CUST_00521,2024-12-03 05:00:18.687241,Regular Service,Thane,Mumbai,2.6,2.7,0.0,3734.0,1468.0,5202.0,0.98,100.0,3.2,4.3,7.1,Passive,False,False,3.8,3.5,Available,Phone,True,False
SRV_000074,CUST_00569,2023-09-07 05:00:18.689246,Regular Service,Baner,Pune,2.8,2.6,0.0,2774.0,867.0,3642.0,0.9,30.0,3.2,4.0,7.2,Passive,False,True,3.0,4.9,Not Available,Mobile App,True,False
SRV_000075,CUST_00288,2025-11-06 05:00:18.663245,Regular Service,Indira Nagar,Lucknow,4.3,3.6,0.0,2141.0,86.0,2227.0,0.89,33.0,4.0,4.7,10.0,Promoter,False,True,4.3,4.9,Delayed,Phone,False,False
SRV_000076,CUST_01383,2023-11-05 05:00:18.736244,Regular Service,Kothrud,Pune,2.3,2.0,0.0,2305.0,702.0,3007.0,0.91,33.0,4.2,3.9,7.8,Passive,True,True,3.7,4.6,Available,Phone,True,False
SRV_000077,CUST_01990,2025-08-25 05:00:18.767245,Regular Service,Karol Bagh,Delhi,2.5,2.9,0.4,2295.0,215.0,2510.0,0.8,98.0,4.4,3.6,7.4,Passive,True,True,3.9,3.8,Delayed,Online,True,False
SRV_000078,CUST_00732,2025-06-14 05:00:18.693242,Oil Change,New Town,Kolkata,1.6,1.4,0.0,2607.0,1033.0,3640.0,0.79,63.0,3.0,3.5,2.6,Detractor,True,True,3.2,4.1,Delayed,Mobile App,True,False
SRV_000079,CUST_01626,2023-05-11 05:00:18.742244,Regular Service,Electronic City,Bangalore,2.2,1.7,0.0,3460.0,425.0,3885.0,0.67,82.0,3.8,4.0,7.8,Passive,False,True,3.8,3.7,Available,Walk-in,False,False
SRV_000080,CUST_01709,2024-04-29 05:00:18.760245,AC Service,Jayanagar,Bangalore,3.4,4.3,0.9,4416.0,796.0,5213.0,1.0,114.0,4.3,4.0,7.4,Passive,True,True,4.7,4.6,Delayed,Phone,False,False
SRV_000081,CUST_00805,2023-12-24 05:00:18.694242,Regular Service,Rohini,Delhi,2.3,2.7,0.4,3811.0,332.0,4143.0,0.93,113.0,3.0,4.4,7.7,Passive,False,True,5.0,4.4,Available,Phone,True,False
SRV_000082,CUST_01275,2023-07-13 05:00:18.731244,Major Service,Anna Nagar,Chennai,7.2,9.1,1.9,11481.0,117.0,11597.0,0.91,35.0,3.5,4.0,8.0,Passive,False,True,3.0,3.8,Not Available,Walk-in,False,False
SRV_000083,CUST_00523,2024-04-26 05:00:18.687241,Oil Change,C-Scheme,Jaipur,1.4,1.5,0.2,3811.0,517.0,4327.0,0.63,60.0,4.5,3.3,5.0,Detractor,True,True,4.7,4.6,Available,Mobile App,True,False
SRV_000084,CUST_01389,2025-10-18 05:00:18.736244,Major Service,Malviya Nagar,Jaipur,4.0,5.8,1.8,14606.0,860.0,15466.0,0.93,12.0,4.5,4.0,7.6,Passive,True,True,3.6,4.4,Not Available,Walk-in,True,False
SRV_000085,CUST_01550,2024-03-26 05:00:18.741246,Regular Service,Jayanagar,Bangalore,2.4,2.8,0.4,4428.0,311.0,4739.0,0.83,119.0,4.0,4.0,7.2,Passive,True,True,5.0,4.7,Available,Online,False,False
SRV_000086,CUST_01384,2025-03-12 05:00:18.736244,Regular Service,Connaught Place,Delhi,2.6,3.3,0.7,4486.0,109.0,4595.0,0.78,95.0,3.1,4.1,7.8,Passive,True,True,4.8,4.5,Available,Walk-in,True,False
SRV_000087,CUST_00959,2024-02-06 05:00:18.698242,Oil Change,Rohini,Delhi,1.7,1.6,0.0,1775.0,651.0,2426.0,0.65,6.0,3.7,3.7,7.3,Passive,True,False,3.4,4.3,Not Available,Mobile App,False,False
SRV_000088,CUST_01107,2025-03-29 05:00:18.714244,Oil Change,Aliganj,Lucknow,2.2,1.7,0.0,2424.0,594.0,3018.0,0.88,104.0,4.1,3.8,7.1,Passive,False,True,3.3,4.4,Delayed,Phone,False,False
SRV_000089,CUST_01158,2024-08-12 05:00:18.721244,Brake Service,Vastrapur,Ahmedabad,4.2,4.9,0.7,5816.0,999.0,6815.0,0.77,29.0,3.8,3.6,7.9,Passive,False,True,4.0,4.4,Not Available,Walk-in,True,False
SRV_000090,CUST_00559,2024-11-04 05:00:18.688243,Battery Replacement,Gachibowli,Hyderabad,1.2,1.8,0.6,5731.0,691.0,6421.0,1.0,102.0,3.0,3.9,7.0,Passive,True,True,3.3,3.6,Available,Online,False,False
SRV_000091,CUST_00014,2025-12-01 05:00:18.656242,Brake Service,Malviya Nagar,Jaipur,4.2,5.1,0.9,4191.0,55.0,4246.0,0.61,33.0,3.3,2.9,1.2,Detractor,True,False,3.1,3.7,Delayed,Walk-in,False,False
SRV_000092,CUST_00226,2023-03-30 05:00:18.662248,Regular Service,Goregaon,Mumbai,2.1,2.7,0.6,5901.0,797.0,6698.0,0.96,92.0,3.8,3.1,3.3,Detractor,True,True,3.5,4.8,Delayed,Phone,False,False
SRV_000093,CUST_00640,2025-07-02 05:00:18.690242,Oil Change,Gachibowli,Hyderabad,1.6,1.5,0.0,1824.0,253.0,2077.0,0.86,72.0,4.1,4.2,7.8,Passive,True,True,3.9,4.0,Not Available,Mobile App,False,False
SRV_000094,CUST_01444,2024-02-06 05:00:18.738244,Major Service,Anna Nagar,Chennai,7.6,6.3,0.0,10876.0,621.0,11497.0,0.63,73.0,3.1,3.9,7.3,Passive,True,True,4.7,4.5,Not Available,Phone,False,False
SRV_000095,CUST_00032,2025-08-14 05:00:18.656242,Oil Change,Madhapur,Hyderabad,1.7,1.2,0.0,1771.0,316.0,2087.0,0.75,82.0,4.4,4.0,7.4,Passive,False,True,4.0,4.9,Delayed,Mobile App,True,False
SRV_000096,CUST_00617,2023-04-06 05:00:18.690242,Brake Service,Maninagar,Ahmedabad,4.5,2.9,0.0,9894.0,1775.0,11669.0,0.83,27.0,3.4,3.4,3.2,Detractor,True,True,4.4,3.6,Not Available,Phone,False,False
SRV_000097,CUST_01624,2025-10-29 05:00:18.742244,Major Service,Malad,Mumbai,4.6,4.0,0.0,11878.0,477.0,12355.0,0.87,75.0,3.9,3.9,7.5,Passive,True,True,3.3,4.5,Delayed,Phone,True,False
SRV_000098,CUST_00807,2023-04-20 05:00:18.694242,Oil Change,C-Scheme,Jaipur,1.7,1.4,0.0,2562.0,261.0,2823.0,0.97,61.0,4.5,4.6,9.7,Promoter,False,True,3.1,4.2,Delayed,Phone,True,False
SRV_000099,CUST_01279,2023-04-22 05:00:18.732246,Brake Service,New Town,Kolkata,3.2,4.9,1.8,7931.0,1364.0,9295.0,0.98,43.0,3.6,3.6,7.3,Passive,True,False,4.0,4.7,Not Available,Phone,True,False
SRV_000100,CUST_01482,2023-03-13 05:00:18.739244,Major Service,Vastrapur,Ahmedabad,6.5,5.6,0.0,12974.0,2480.0,15454.0,0.9,30.0,4.2,3.6,7.7,Passive,False,True,4.6,4.8,Not Available,Walk-in,True,False
SRV_000101,CUST_01717,2024-04-02 05:00:18.760245,Regular Service,Bandra East,Mumbai,2.2,2.9,0.7,2477.0,182.0,2659.0,0.81,69.0,4.8,3.9,7.4,Passive,False,True,3.4,4.6,Available,Online,True,False
SRV_000102,CUST_00120,2025-02-17 05:00:18.659245,Regular Service,Aliganj,Lucknow,3.7,4.0,0.3,3509.0,404.0,3913.0,0.92,52.0,4.2,4.4,7.4,Passive,False,True,3.0,4.9,Delayed,Online,False,False
SRV_000103,CUST_01541,2023-11-13 05:00:18.740245,Regular Service,Koramangala,Bangalore,1.7,1.8,0.1,4508.0,1167.0,5675.0,0.63,25.0,3.6,3.8,7.2,Passive,True,True,3.3,4.8,Available,Online,True,False
SRV_000104,CUST_01299,2023-11-05 05:00:18.733242,Regular Service,Marathahalli,Bangalore,3.4,3.5,0.0,3260.0,28.0,3287.0,0.86,11.0,4.7,3.7,7.1,Passive,False,True,5.0,4.8,Delayed,Walk-in,True,False
SRV_000105,CUST_01296,2024-11-26 05:00:18.733242,Paint & Body Work,Rajarhat,Kolkata,7.1,7.3,0.2,27173.0,2481.0,29654.0,0.64,107.0,4.0,4.1,7.9,Passive,True,False,4.6,3.7,Not Available,Walk-in,False,False
SRV_000106,CUST_01649,2023-08-22 05:00:18.758891,Oil Change,Koramangala,Bangalore,1.2,1.2,0.0,2908.0,832.0,3740.0,0.93,60.0,3.7,3.9,7.5,Passive,False,True,3.8,4.9,Available,Mobile App,True,False
SRV_000107,CUST_00253,2024-06-27 05:00:18.662248,Regular Service,Velachery,Chennai,2.4,2.6,0.2,3871.0,70.0,3941.0,0.63,62.0,3.7,3.5,3.1,Detractor,True,True,4.2,3.8,Delayed,Phone,True,False
SRV_000108,CUST_01825,2023-05-10 05:00:18.763244,Major Service,Malad,Mumbai,5.7,7.7,2.1,11117.0,1186.0,12303.0,0.67,92.0,4.2,2.7,1.2,Detractor,False,True,3.0,4.0,Delayed,Walk-in,True,False
SRV_000109,CUST_01790,2025-04-02 05:00:18.762244,Oil Change,Maninagar,Ahmedabad,1.4,1.2,0.0,2352.0,264.0,2616.0,0.77,106.0,4.4,4.0,7.0,Passive,False,True,4.3,4.0,Not Available,Walk-in,True,True
SRV_000110,CUST_01807,2023-07-04 05:00:18.762772,Major Service,Lajpat Nagar,Delhi,5.6,3.6,0.0,13462.0,3249.0,16711.0,0.91,78.0,3.1,3.7,7.7,Passive,False,True,4.5,3.9,Delayed,Walk-in,False,False
